Time,PX,PY,PZ,VX,VY,VZ,AX,AY,AZ,MAX-M10S - Lat,MAX-M10S - Lon,MAX-M10S - Alt (m),MAX-M10S - Disp X (m),MAX-M10S - Disp Y (m),MAX-M10S - Disp Z (m),ALT,MAX,MAY,MAZ,BMI088andLIS3MDL - GyroX (rad/s),BMI088andLIS3MDL - GyroY (rad/s),BMI088andLIS3MDL - GyroZ (rad/s),BMI088andLIS3MDL - OriX,BMI088andLIS3MDL - OriY,BMI088andLIS3MDL - OriZ
0,-1.537,2.065,20.475,-5.818,12.224,56.787,-4.961,27.505,63.189,0,0,0,0,0,0,17.342,-69.07,1.501,1.02,0.724,0.006,0.07,0.706,-0.131,-0.674
0.2,-1.788,3.344,30.481,-6.345,18.575,65.474,-5.86,37.649,51.617,0,0,0,0,0,0,27.5,-64.129,1.07,1.587,1.063,0.134,0.138,0.691,-0.214,-0.649
0.4,-1.952,5.036,41.581,-5.984,25.877,71.917,-1.861,45.764,42.189,0,0,0,0,0,0,38.072,-62.268,0.057,0.639,0.884,0.043,0.401,0.661,-0.298,-0.633
0.6,-1.962,7.044,53.73,-4.998,33.14,76.803,1.146,49.635,34.884,0,0,0,0,0,0,50.128,-60.638,-2.112,0.668,0.482,0.026,0.322,0.639,-0.35,-0.625
0.8,-1.868,9.111,69.168,-4.494,38.305,83.722,-1.131,43.431,37.064,0,0,0,0,0,0,68.277,-57.01,-2.392,2.32,-0.52,0.043,-0.03,0.657,-0.317,-0.639
1,-1.729,10.929,85.521,-3.826,41.118,90.8,-0.07,35.47,39.745,0,0,0,0,0,0,84.005,-53.254,-1.257,0.56,-0.573,-0.023,-0.092,0.671,-0.273,-0.655
1.2,-1.585,12.308,103.442,-3.668,41.913,98.239,-2.35,28.298,41.141,0,0,0,0,0,0,102.065,-49.978,0.927,0.438,-0.418,0.113,-0.215,0.693,-0.233,-0.654
1.4,-1.497,13.094,122.719,-3.903,39.79,102.691,-4.141,15.426,25.658,0,0,0,0,0,0,121.552,-30.103,0.797,2.571,-0.315,0.158,0.119,0.706,-0.224,-0.652
1.6,-1.432,13.237,142.751,-3.548,36.43,104.652,-1.083,9.62,12.856,0,0,0,0,0,0,141.724,-15.867,-2.557,0.826,-0.405,-0.079,0.036,0.706,-0.199,-0.666
1.8,-1.28,12.792,161.462,-2.169,31.484,103.545,4.311,0.881,2.998,0,0,0,0,0,0,158.643,-3.046,-0.022,-4.367,-0.381,-0.115,-0.019,0.703,-0.17,-0.681
2,-1.086,11.889,178.138,-2.049,26.8,100.276,-1.567,0.402,-1.618,0,0,0,0,0,0,173.289,1.386,-0.733,1.666,-0.377,0.015,0.072,0.707,-0.15,-0.687
2.2,-0.921,10.739,195.379,-1.528,22.538,97.7,0.751,0.22,-2.602,0,0,0,0,0,0,191.998,2.507,-0.876,-0.575,-0.46,0.121,-0.07,0.719,-0.114,-0.684
2.4,-0.781,9.493,212.917,-1.503,18.804,95.778,-1.434,0.364,-2.227,0,0,0,0,0,0,210.49,2.083,-0.56,1.58,-0.413,0.015,-0.047,0.722,-0.082,-0.687
