Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²)
0,0,0,0,0,0,0,0,0
0.002,0,0.001,3.654,0,0,0,9.353e-6,0.028
0.004,1.871e-5,0.022,17.101,-7.48E-08,0,270,6.545e-5,0.028
0.006,9.741e-5,0.057,17.924,-2.62E-07,0,270,1.215e-4,0.028
0.008,2.478e-4,0.094,18.748,-5.61E-07,0,270,1.776e-4,0.028
0.01,4.732e-4,0.132,19.572,-9.72E-07,0,270,2.337e-4,0.028
0.012,7.769e-4,0.172,20.395,-1.50E-06,0,270,2.9e-4,0.028
0.014,0.001,0.214,21.219,-2.13E-06,0,270,3.464e-4,0.028
0.016,0.002,0.257,22.043,-2.88E-06,0,270,4.031e-4,0.028
0.018,0.002,0.302,22.867,-3.75E-06,0,270,4.601e-4,0.029
0.02,0.003,0.348,23.691,-4.72E-06,0,270,5.174e-4,0.029
0.022,0.004,0.397,24.515,-5.82E-06,0,270,5.753e-4,0.029
0.024,0.004,0.446,25.339,-7.02E-06,0,270,6.337e-4,0.029
0.026,0.005,0.498,26.163,-8.35E-06,0,270,6.928e-4,0.03
0.028,0.006,0.551,26.987,-9.80E-06,0,270,7.527e-4,0.03
0.03,0.008,0.606,27.811,-1.14E-05,0,270,8.134e-4,0.031
0.031,0.008,0.634,28.223,-1.22E-05,0,270,8.441e-4,0.031
0.033,0.009,0.677,29.894,-1.35E-05,0,270,8.908e-4,0.031
0.035,0.011,0.739,32.121,-1.53E-05,0,270,9.541e-4,0.032
0.037,0.012,0.806,34.349,-1.73E-05,0,270,0.001,0.033
0.039,0.014,0.877,36.576,-1.94E-05,0,270,0.001,0.034
0.041,0.016,0.952,38.804,-2.17E-05,0,270,0.001,0.035
0.043,0.018,1.032,41.032,-2.40E-05,0,270,0.001,0.036
0.045,0.02,1.116,43.261,-2.66E-05,0,270,0.001,0.037
0.047,0.023,1.228,46.046,-2.99E-05,0,270,0.001,0
0.049,0.025,1.32,46.323,-3.27E-05,0,270,0.001,0
0.051,0.028,1.413,46.599,-3.55E-05,0,270,0.001,0
0.053,0.031,1.507,46.876,-3.83E-05,0,270,0.001,0
0.055,0.034,1.601,47.152,-4.11E-05,0,270,0.001,0
0.057,0.037,1.695,47.429,-4.38E-05,0,270,0.001,0
0.059,0.041,1.79,47.705,-4.66E-05,0,270,0.001,0
0.061,0.044,1.886,47.981,-4.94E-05,0,270,0.001,0
0.063,0.048,1.982,48.258,-5.22E-05,0,270,0.001,0
0.065,0.052,2.079,48.534,-5.50E-05,0,270,0.001,0
0.067,0.057,2.177,48.811,-5.78E-05,0,270,0.001,0
0.069,0.061,2.274,49.087,-6.06E-05,0,270,0.001,0
0.071,0.066,2.373,49.363,-6.33E-05,0,270,0.001,0
0.073,0.071,2.472,49.64,-6.61E-05,0,270,0.001,0
0.075,0.076,2.571,49.916,-6.89E-05,0,270,0.001,0
0.077,0.081,2.672,50.193,-7.17E-05,0,270,0.001,0
0.079,0.086,2.772,50.469,-7.45E-05,0,270,0.001,0
0.081,0.092,2.873,50.746,-7.73E-05,0,270,0.001,0
0.083,0.098,2.975,51.022,-8.01E-05,0,270,0.001,0
0.085,0.104,3.078,51.299,-8.28E-05,0,270,0.001,0
0.087,0.11,3.18,51.575,-8.56E-05,0,270,0.001,0
0.089,0.117,3.284,51.852,-8.84E-05,0,270,0.001,0
0.091,0.123,3.388,52.128,-9.12E-05,0,270,0.001,0
0.093,0.13,3.492,52.405,-9.40E-05,0,270,0.001,0
0.095,0.137,3.597,52.681,-9.68E-05,0,270,0.001,0
0.096,0.141,3.65,52.819,-9.82E-05,0,270,0.001,0
0.098,0.146,3.729,52.888,-1.00E-04,0,270,0.001,0
0.1,0.154,3.835,52.98,-1.03E-04,0,270,0.001,0
0.102,0.162,3.941,53.071,-1.06E-04,0,270,0.001,0
0.104,0.17,4.048,53.163,-1.09E-04,0,270,0.001,0
